Country Name,Region Name,Main Grouping,Indicator - Topic,Indicator - Topic description,Indicator Name,Indicator - Unit,Scale,Indicator - Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,Africa,Electricity,Access,Electricity access,Population access to electricity-Rural (% of population),% of population,,Tracking SDG7/WBG,13.818,15.046,15.261,15.858,15.98,16.569,16.511,17.584,17.872,19.178,18.41,19.187,19.742,21.959,20.929,20.95,22.414,22.278,22.493,22.474,22.442,23.422,24.37,24.922,25.503,25.671,30.192,34.96417,NULL
Africa,Africa,Electricity,Access,Electricity access,Population access to electricity-Urban (% of population),% of population,,Tracking SDG7/WBG,66.163,66.572,67.017,67.75,67.925,68.659,69.297,69.76,70.246,70.675,71.151,71.085,71.784,72.277,72.659,20.95,73.816,75.28,74.566,75.103,74.63,77.578,76.966,77.556,77.909,78.739,80.404,79.25335,NULL
Africa,Africa,Electricity,Access,Electricity access,Population without access to electricity-National (millions of people),Millions of people,,Tracking SDG7/WBG,439.4341,443.569,452.0503,458.1602,476.1404,482.1137,490.3264,493.5814,500.4492,502.1652,510.3064,520.6768,525.7205,522.9975,538.763,550.1679,549.5082,556.0312,570.3168,581.4655,595.3387,590.6587,598.1939,606.1876,613.0498,619.7038,591.3569,,
Africa,Africa,Electricity,Access,Electricity access,Population without access to electricity-Rural (millions of people),Millions of people,,Tracking SDG7/WBG,373.045,375.3502,382.0994,387.1436,394.5925,399.9691,408.4885,411.3423,418.078,419.5624,431.8813,435.8249,440.9102,436.7039,450.7008,458.9275,458.7747,468.101,475.3578,484.1706,493.1813,495.7825,498.4651,503.6499,508.5199,516.1046,492.8759,,
Africa,Africa,Electricity,Access,Electricity access,Population without access to electricity-Urban (millions of people),Millions of people,,Tracking SDG7/WBG,66.38905,68.21877,69.95091,71.01656,73.18365,73.98071,74.9072,76.24083,77.48391,78.86917,80.13615,83.07864,83.87023,85.26555,87.02996,87.69576,89.37302,87.40079,93.19613,94.55476,99.86525,91.47478,97.38972,98.33635,100.274,99.95747,95.39561,,
Africa,Africa,Social and Economic,Population,Population,Population; Total (millions of people),Millions of people,,AfDB Data portal,630.6866,647.9479,665.5117,683.3158,701.2809,719.3611,737.5417,755.8721,774.45,793.4109,816.3597,836.5749,857.3331,878.683,900.6732,923.3463,946.715,970.8008,995.6592,1021.354,1047.923,1075.39,1103.72,1132.812,1162.52,1192.736,1223.421,1254.586,1286.212
Africa,Africa,Social and Economic,Population,Population,Rural population (millions of people),Millions of people,,AfDB Data portal,432.8567,441.825,450.9134,460.1066,469.6402,479.4003,489.2709,499.1068,509.0589,519.122,529.3298,539.2984,549.3682,559.584,569.9956,580.5529,591.3129,602.2788,613.3117,624.5249,635.8864,647.4175,659.0798,670.8315,682.6042,694.3503,706.0483,724.973,737.356
Africa,Africa,Social and Economic,Population,Population,Urban population (millions of people),Millions of people,,AfDB Data portal,196.2048,204.0754,212.0825,220.2053,228.1642,236.0507,243.9762,252.1226,260.4119,268.9477,282.7471,292.6553,302.9916,313.7104,324.8666,336.5756,348.7238,360.9937,374.3629,388.2368,402.6168,417.4857,432.7189,448.4274,464.6117,481.257,498.3583,520.07,540.161
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity export (GWh),GWh,,AFREC Database,,,,,,,,,,,319,196,259,212,197,275,300,273,323,362,803,799,985,384,877,641,507,918.7645,833.8764
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity final consumption (GWh),GWh,,AFREC Database,,,,,,,,,,,18592,19664,20739,22699,23608,26656,26456,27991,29953,27911,33470,35867,40777,43158,45751,50153,52288,53453,54733
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity final consumption per capita (KWh),KWh per capita,,AFREC Database,,,,,,,,,,,596.2097,622.4331,648.194,700.5106,719.0743,800.7585,783.2338,816.0625,859.2194,786.9844,926.694,974.129,1085.481,1125.707,1169.704,1257.865,1287.69,1293.693,1302.917
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generated from biofuels and waste (GWh),GWh,,AFREC Database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generated from fossil fuels (GWh),GWh,,AFREC Database,,,,,,,,,,,25358,26556,27591,29571,30634,33360,35008,36970,39753,42427,42663,51062.41,56776,59560,63988,68576,70663,73741.06,77076.85
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generated from geothermal energy (GWh),GWh,,AFREC Database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generated from hydropower (GWh),GWh,,AFREC Database,,,,,,,,,,,54,274.7,274.7,274.74,251.1,555,218,226,283,342,171,173,125.8286,330,254,145,218,223.3475,228.7717
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generated from nuclear power (GWh),GWh,,AFREC Database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generated from renewable sources (GWh),GWh,,AFREC Database,,,,,,,,,,,54,274.7,274.7,274.74,251.1,555,218,226,283,342,171,250.526,208.6106,561,539,222,334,345.7355,357.8995
Algeria,North Africa,Electricity,Supply,Electricity supply,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,,AFREC Database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,77.526,82.782,231,285,297.8499,315.9844,122.3879,129.1277
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity generation per capita (KWh),KWh per capita,,AFREC Database,,,,,,,,,,,814.9139,849.2838,870.9379,921.065,940.7269,1018.822,1042.871,1084.429,1148.456,1205.924,1185.958,1393.632,1516.926,1568.16,1649.745,1683.188,1721.761,1793.087,1843.337
Algeria,North Africa,Electricity,Supply,Electricity supply,"Electricity generation, Total (GWh)",GWh,,AFREC Database,,,,,,,,,,,25412,26830.7,27865.7,29845.74,30885.1,33915,35226,37196,40036,42769,42834,51312.93,56984.61,60121,64527,67111.27,69913.9,74087,77435
Algeria,North Africa,Electricity,Supply,Electricity supply,Electricity import (GWh),GWh,,AFREC Database,,,,,,,,,,,542,406,496,435,408,359,382,279,274,330,736,657,936,295,686,610,257,662.7645,576.8764
Algeria,North Africa,Electricity,Technical,Electricity technical indicators,Electricity installed capacity in Bioenergy (MW),MW,,IRENA database,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
